society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
independent,15.5,sector 43,28233.0,5490.0,Plot area 610(510.04 sq.m.),5,6,3,3,East,Moderately Old,house,,5490.0,,1,1,1,1,0,0,76
trisara our homes 3,0.38,sohna road,6312.0,602.03,Built Up area: 602 (55.93 sq.m.),2,2,2,1,,Undefined,flat,,602.0,,0,0,0,0,0,0,0
sare green parc phase 3,0.7,sector 92,5279.0,1326.01,Super Built up area 1326(123.19 sq.m.)Built Up area: 1325 sq.ft. (123.1 sq.m.)Carpet area: 1320 sq.ft. (122.63 sq.m.),3,2,2,4,,Relatively New,flat,1326.0,1325.0,1320.0,0,0,0,0,0,0,56
emaar gurgaon greens,1.6,sector 102,9696.0,1650.17,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,8,,Relatively New,flat,1650.0,,1022.58,0,0,0,0,0,0,46
emaar mgf the palm drive,3.98,sector 66,18090.0,2200.11,Super Built up area 2200(204.39 sq.m.),3,4,3+,2,South-East,Moderately Old,flat,2200.0,,,0,1,0,0,0,2,123
ireo the corridors,1.4,sector 67a,9433.0,1484.15,Super Built up area 1484(137.87 sq.m.)Carpet area: 860 sq.ft. (79.9 sq.m.),2,2,2,8,North,Relatively New,flat,1484.0,,860.0,1,0,0,0,1,0,90
4s aradhya homes,1.83,sector 67a,6778.0,2700.0,Plot area 300(250.84 sq.m.),4,4,2,4,East,New Property,house,,2700.0,,0,0,0,1,0,2,145
ild greens,0.78,sector 37c,5714.0,1365.07,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1,North,Moderately Old,flat,1365.0,1068.1,900.0,0,0,0,0,0,2,103
m3m soulitude,1.25,sector 89,8784.0,1423.04,Super Built up area 1423(132.2 sq.m.),3,3,3,3,East,New Property,flat,1423.0,,,1,0,0,0,1,0,61
not applicable,0.75,sector 4,11718.0,640.0,Plot area 640(59.46 sq.m.),5,4,3,2,,Moderately Old,house,,640.0,,0,0,0,0,0,0,0
pareena coban residences,1.13,sector 99a,5658.0,1997.17,Super Built up area 1997(185.53 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,5,3,5,East,Relatively New,flat,1997.0,1790.0,1500.0,0,1,0,0,1,0,49
malibu towne,8.81,sector 47,27191.0,3240.0,Plot area 360(301.01 sq.m.),8,6,3+,3,East,Moderately Old,house,,3240.0,,1,1,0,0,1,2,27
independent,1.16,sector 7,11693.0,992.0,Plot area 992(92.16 sq.m.)Carpet area: 992 sq.ft. (92.16 sq.m.),5,4,2,3,North-East,Moderately Old,house,,,992.0,0,0,0,0,1,0,39
gls arawali homes,0.35,sohna road,7000.0,500.0,Super Built up area 567(52.68 sq.m.)Built Up area: 556 sq.ft. (51.65 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2,2,2,5,,Relatively New,flat,567.0,556.0,500.0,0,0,0,0,0,0,30
vatika independent floors,0.67,sector 82,5826.0,1150.02,Built Up area: 1150 (106.84 sq.m.),2,2,3,2,,Moderately Old,flat,,1150.0,,0,0,0,0,0,0,53
tata gurgaon gateway,2.45,sector 113,10786.0,2271.46,Super Built up area 2225(206.71 sq.m.),3,3,3,8,North,Relatively New,flat,2225.0,,,0,0,0,0,0,0,110
dlf new town heights,1.65,sector 91,6345.0,2600.47,Super Built up area 2364(219.62 sq.m.),4,4,3+,11,West,Moderately Old,flat,2364.0,,,0,1,0,0,0,0,72
sukhshanti apartment,1.7,sector 56,7727.0,2200.08,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3,3,3,4,South,Moderately Old,flat,,2200.0,1610.0,1,0,0,0,0,0,49
breez global hill view,0.32,sohna road,5776.0,554.02,Carpet area: 554 (51.47 sq.m.),2,2,2,19,North,Relatively New,flat,,,554.0,0,0,0,0,0,2,21
valley view estate,1.5,gwal pahari,8278.0,1812.03,Carpet area: 1812 (168.34 sq.m.),4,4,3+,9,North,Old Property,flat,,,1812.0,1,1,0,0,1,0,135
signature global solera,0.5,sector 107,4761.0,1050.2,Super Built up area 1050(97.55 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,5,South,Relatively New,flat,1050.0,850.0,645.0,0,0,0,0,1,0,35
shapoorji pallonji joyville gurugram,1.76,sector 102,10224.0,1721.44,Super Built up area 1692(157.19 sq.m.),3,3,3,1,North-East,Relatively New,flat,1692.0,,,0,0,0,0,0,0,100
parsvnath green ville,1.86,sector 48,7654.0,2430.1,Super Built up area 2430(225.75 sq.m.),3,3,3+,6,North,Moderately Old,flat,2430.0,,,0,1,0,0,0,2,94
unitech fresco,1.14,sector 50,8532.0,1336.15,Super Built up area 1336(124.12 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,2,19,East,Moderately Old,flat,1336.0,1330.0,1100.0,0,0,0,0,1,1,174
ss the leaf,2.2,sector 85,11178.0,1968.15,Super Built up area 2812(261.24 sq.m.)Built Up area: 2390 sq.ft. (222.04 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4,5,3+,4,West,Relatively New,flat,2812.0,2390.0,1968.0,0,1,0,1,0,0,174
signature global solera 2,0.37,sector 107,6680.0,553.89,Carpet area: 553.85 (51.45 sq.m.),2,2,2,9,,New Property,flat,,,553.802655,0,0,0,0,0,0,23
orchid petals,2.55,sector 49,12318.0,2070.14,Super Built up area 2070(192.31 sq.m.)Built Up area: 2060 sq.ft. (191.38 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,8,East,Relatively New,flat,2070.0,2060.0,1760.0,1,0,0,0,0,2,49
laxmi pareena,0.3,sector 99a,6666.0,450.05,Carpet area: 450 (41.81 sq.m.),2,1,0,12,North,Undefined,flat,,,450.0,0,0,0,0,0,0,0
bptp terra,1.45,sector 37d,8006.0,1811.14,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,8,South-East,Relatively New,flat,1811.0,1711.0,1611.0,0,0,0,0,0,0,149
aipl zen residences,1.4,sector 70a,11094.0,1261.94,Built Up area: 1262 (117.24 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,2,16,North-East,Undefined,flat,,1262.0,800.0,0,0,0,0,0,0,0
sare homes,0.5,sector 92,4237.0,1180.08,Super Built up area 1180(109.63 sq.m.),3,3,2,1,North,Relatively New,flat,1180.0,,,0,0,0,0,0,0,26
mapsko mount ville,1.55,sector 79,8539.0,1815.2,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11,South-West,Relatively New,flat,1815.0,,1071.33,0,1,0,0,0,2,152
independent,19.5,sector 2,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3+,2,North,New Property,house,,7200.0,,1,1,0,1,0,0,122
raheja revanta,4.75,sector 78,16885.0,2813.15,Built Up area: 2813 (261.34 sq.m.),3,3,2,31,,Under Construction,flat,,2813.0,,0,1,0,0,0,0,100
dlf regency park,2.35,sector 28,13224.0,1777.07,Super Built up area 1777(165.09 sq.m.),3,3,2,18,North-East,Old Property,flat,1777.0,,,0,1,0,0,0,0,120
antriksh heights,0.79,sector 84,4579.0,1725.27,Super Built up area 1725(160.26 sq.m.),3,3,3+,8,West,New Property,flat,1725.0,,,0,0,0,0,0,0,24
emaar mgf emerald floors premier,2.36,sector 65,14303.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,0,North-East,Relatively New,flat,1650.0,,,1,1,0,0,0,2,159
